Food & Beverages,Inflight Entertainment,Seat Comfort,Staff Service,Value for Money,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Cabin Staff Service,Ground Service,Value For Money,Recommended,Wifi & Connectivity
3,3,3,,,,Family Leisure,Economy Class,San Diego to Marseille via London,Aug-23,2,1,3,no,1
2,3,2,,,A350,Business,Premium Economy,Hamburg to Las Vegas via London,Aug-23,2,1,1,no,
,,,,,,Family Leisure,Economy Class,London to Los Angeles,Jul-23,,,1,no,
3,,3,,,A320,Couple Leisure,Business Class,London Heathrow to Porto,Sep-23,4,4,4,yes,
,,,,,,Couple Leisure,Economy Class,London to Dalaman,Sep-23,,3,1,no,
,,,,,,Solo Leisure,Economy Class,Johannesburg to Milan via London,Sep-23,,,2,no,
,,3,,,,Business,Business Class,Madrid to Vancouver via London,Apr-23,3,1,1,no,
4,,3,,,Boeing 787,Couple Leisure,Business Class,London to Santiago,Sep-23,5,2,5,yes,
,,,,,A320,Couple Leisure,Business Class,London Heathrow to Faro,Sep-23,,1,1,no,
1,1,3,,,,Solo Leisure,Economy Class,Kuwait to Lisbon via London,Sep-23,1,3,3,no,1
1,1,1,,,A320,Couple Leisure,Economy Class,London to Munich,Sep-23,3,1,1,no,1
,,1,,,,Solo Leisure,Economy Class,Frankfurt to London City,Sep-23,,1,1,no,
3,,3,,,A321,Couple Leisure,Business Class,London to Keflavik,Aug-23,4,4,4,yes,3
3,3,4,,,Boeing 777-200,Couple Leisure,Business Class,Mumbai to London,Aug-23,3,4,4,yes,3
3,3,2,,,,Business,Premium Economy,Houston to London Heathrow,Sep-23,4,4,1,no,
2,1,1,,,A380,Solo Leisure,Business Class,London to Miami,Sep-23,1,3,1,no,
1,1,1,,,Boeing 777,,Economy Class,Los Angeles to London,Aug-23,1,1,1,no,
,,1,,,,Couple Leisure,Economy Class,New York JFK to Malaga via London,Jun-23,3,1,1,no,
1,1,3,,,,Couple Leisure,Premium Economy,Chicago to Rome via London,Jul-23,1,1,1,no,1
1,1,1,,,A320,Solo Leisure,Business Class,London to Malaga,Aug-23,1,1,1,no,1
,,1,,,,Solo Leisure,Economy Class,Frankfurt to London Heathrow,Aug-23,1,1,1,no,
